Nom,Adresse,Téléphone,Latitude,Longitude
TRACTAFRIC (Tractafric Equipment Maroc),"autoroute Casa/Rabat , km.11,6 route desserte des usines 20250 Casablanca - Maroc",0522763000,33.58831,-7.61138
HAMELLE MAROC,"100, zone indust Sud-Ouest 20650 Mohammedia - Maroc",0523313510,33.68607,-7.38298
CENTRAL PARTS,"15, rue Rachid Réda 20300 Casablanca - Maroc","0522408696, 0522243637",33.5899827,-7.5834277
F.A.M. (Fonderies et Acieries du Maroc),"19, chemin des Pivoines (Beausite) , Aïn Sebaâ 20250 Casablanca - Maroc","0522355888, 0522355721",33.58831,-7.61138
FIRST FILTRES INDUSTRIELS - FFI,"3, rue Abou Abbas El Jiraoui , Belvédère 20300 Casablanca - Maroc","0522248443, 0522248445",33.58831,-7.61138
GAF DISTRIBUTION,"7, bd El Binaa -ex E , lot. Snci.- Z.I. sidi bernoussi 20300 Casablanca - Maroc","0522863542, 0522863543, 0661758320",33.65561,-7.45414
S.R.M. (sté de réalisations mécaniques),"quartier Lissasfa, route d'El Jadida , km.14 20190 Casablanca - Maroc",0522633700,33.58831,-7.61138
CASA GRUE,"bd Zoulikha Naciri, Mega business center 2°ét. Sidi Maarouf 20550 Casablanca - Maroc","0522673204, 0667058527",38.8933,-77.0146
RABAT TRACT,"cité Ikamat Assabah , 12 résid.AlAfak, C.y.m 10050 Rabat - Maroc",0537792518,34.01325,-6.83255
TRACTORPARTS,"15, rue Rachid Réda , Ain Borja 20300 Casablanca - Maroc","0522600590, 0522408696",33.58831,-7.61138
SUD TRANSMISSION,"rue Abou Bakr Essedik , Q.i. Marrakech 40000 Marrakech - Maroc","0524433434, 0524432169, 0671873374",31.63416,-7.99994
UNION CHARIOT,"hay Salama I , 64 rue 9 - Ahl Loghlam, Sidi Moumen 20450 Casablanca - Maroc",0522010921,33.62026,-7.46944
77 EPSM (77 Equipements Parts et Service Maroc),"6, rue Le Nain , 2° étg., Maarif 20150 Casablanca - Maroc","0522211434, 0600022620",33.58831,-7.61138
AFRI EQUIPEMENT,"Lot. 25B, Bab Al Madina - Tilila 80000 Agadir - Maroc",0808548482,30.42018,-9.59815
COGETRAKS,"Douar El Caid Harbil, route de Safi - km 11, Sidi Ghanem 40000 Marrakech - Maroc",0666045007,32.6986,-7.98151
BREAKER MAROC,"Douar Ouled Slama - Ouest Ain Attig, Ibn Khaldoun 12000 Témara - Maroc",0661719191,32.0,-6.0
BEKS,"135, zone indust Sud-Ouest 28800 Mohammedia - Maroc","0522666145, 0661044361, 0661282298",33.68607,-7.38298
CCIC,"quartier Lissasfa, route d'El Jadida , km.14 --- c/o Srm 23593 Casablanca - Maroc",0522633700,33.58831,-7.61138
AB PARTS,"4, bd du Fouarat , Hay Mohammadi 20570 Casablanca - Maroc",0522636991,33.58831,-7.61138
P.A.G.E.C. (Pièces Agricoles et Génie Civil),"bd de la Grande Ceinture (h.Mohammadi) , angle av. L, imm. Lotf Allah 20350 Casablanca - Maroc","0522609081, 0522601775",,
